114,Eruption  Marapi,VO,100.473333,-0.380555,2011-10-11 05:00:00,2011-10-11 05:00:00,Orange,2,2.0,Sumatra
181,Eruption  Gamalama,VO,127.333333,0.8,2011-12-09 03:00:00,2011-12-09 03:00:00,Orange,2,2.0,Halmahera-Indonesia
178,Eruption  Dukono,VO,127.883333,1.683333,2012-02-28 04:30:00,2012-02-28 04:30:00,Orange,2,2.0,Halmahera-Indonesia
162,Eruption  Sirung,VO,124.133333,-8.508333,2012-05-12 19:50:00,2012-05-12 19:50:00,Orange,2,2.0,Lesser Sunda Is
117,Eruption  Kerinci,VO,101.264444,-1.697222,2012-07-25 02:03:00,2012-07-25 02:03:00,Red,3,3.0,Sumatra
82,Eruption  Pago,VO,150.516666,-5.583333,2012-07-10 22:03:00,2012-07-10 22:03:00,Orange,2,2.0,New Britain-SW Pac
120,Eruption  Dempo,VO,103.133333,-4.033333,2012-08-18 00:03:00,2012-08-18 00:03:00,Red,3,3.0,Sumatra
170,Eruption  Soputan,VO,124.733333,1.108333,2012-09-19 12:03:00,2012-09-19 12:03:00,Red,3,3.0,Sulawesi-Indonesia
123,Eruption  Krakatau,VO,105.422777,-6.101666,2012-09-04 01:04:00,2012-09-04 01:04:00,Orange,2,2.0,Indonesia
79,Eruption  Langila,VO,148.416666,-5.525,2012-12-05 16:45:00,2012-12-05 16:45:00,Orange,2,2.0,New Britain-SW Pac
108,Eruption  Barren Island,VO,93.858333,12.277777,2013-02-17 09:00:00,2013-02-17 09:00:00,Red,3,3.0,Andaman Is-Indian O
76,Eruption  Karkar,VO,145.963888,-4.648611,2013-03-16 09:00:00,2013-03-16 09:00:00,Red,3,3.0,New Guinea-NE of
86,Eruption  Rabaul,VO,152.202777,-4.270833,2013-04-18 00:45:00,2013-04-18 00:45:00,Orange,2,2.0,New Britain-SW Pac
171,Eruption  Lokon-Empung,VO,124.791666,1.358333,2013-04-11 03:45:00,2013-04-11 03:45:00,Orange,2,2.0,Sulawesi-Indonesia
175,Eruption  Karangetang [Api Siau],VO,125.4,2.783333,2013-04-09 15:15:00,2013-04-09 15:15:00,Orange,2,2.0,Sangihe Is-Indonesia
75,Eruption  Manam,VO,145.037222,-4.08,2013-06-22 17:30:00,2013-06-22 17:30:00,Orange,2,2.0,New Guinea-NE of
154,Eruption  Paluweh,VO,121.708333,-8.316666,2013-06-19 18:45:00,2013-06-19 18:45:00,Orange,2,2.0,Lesser Sunda Is
90,Eruption  Bagana,VO,155.195,-6.14,2013-06-17 17:00:00,2013-06-17 17:00:00,Orange,2,2.0,Bougainville-SW Pacific
161,"Eruption  Tara, Batu",VO,123.579166,-7.791666,2013-07-14 22:30:00,2013-07-14 22:30:00,Orange,2,2.0,Lesser Sunda Is
509,Eruption  Agung,VO,115.51,-8.34,2017-11-26 18:00:00,2017-11-26 18:00:00,Orange,2,1.92794001918505,Indonesia
510,Eruption  Mayon,VO,123.686027,13.255959,2018-01-23 15:00:00,2018-01-23 15:00:00,Orange,2,1.44456885374184,Philippines
511,Eruption  Kilauea,VO,-155.286762,19.421097,2018-05-04 22:00:00,2018-05-28 06:00:00,Orange,2,1.5,United States
512,Eruption  VOLCANO DE FUEGO,VO,-90.880833,14.474722,2018-06-04 06:00:00,2018-06-07 06:00:00,Orange,2,1.65891090559051,Guatemala
514,Eruption  Krakatau,VO,105.423,-6.102,2018-12-22 14:58:00,2018-12-22 13:58:00,Red,3,3.58591502806943,Indonesia
273070,Eruption  Taal,VO,120.993,14.002,2020-01-12 00:00:00,2020-01-22 00:00:00,Orange,2,1.5,Philippines
1000012,Eruption  Taal,VO,120.993,14.002,2021-02-19 00:00:00,2021-07-08 00:00:00,Orange,2,1.5,Philippines
1000012,Eruption  Taal,VO,120.993,14.002,2021-02-19 00:00:00,2021-07-08 00:00:00,Orange,2,1.5,Philippines
1000012,Eruption  Taal,VO,120.993,14.002,2021-02-19 00:00:00,2021-07-08 00:00:00,Orange,2,1.5,Philippines
1000020,Eruption  Soufriere St. Vincent,VO,-61.18,13.33,2021-04-09 00:00:00,2021-04-23 00:00:00,Orange,2,1.5,Saint Vincent and the Grenadines
1000012,Eruption  Taal,VO,120.993,14.002,2021-02-19 00:00:00,2021-07-08 00:00:00,Orange,2,1.5,Philippines
